TWEET,true_emoji,pred_emoji
Bet na bet miss jill Tan #BFYFirstFeel,blush,heart_eyes
Someone bring me subway,blush,yum
Someone bring me Starbucks,sob,weary
Want to go McDonalds but my bloody car won’t start,sob,weary
someone bring me Starbucks to work,heart_eyes,sob
I'll bet so.,flushed,blush
I saw your boo at Starbucks today,grin,sob
That's my bae,grin,sob
bet you can't guard him tho,grin,relaxed
They didn't Nooo,sob,yum
I bet that you can't watch this without smile,heart_eyes,smirk
My life,weary,grin
ღ Her cuteness makes me cry ღ ღ Bet u smiled ️ ღ (Vine by ),relaxed,sob
Starbucks,heart_eyes,wink
I bet it was.,blush,wink
really want Starbucks,weary,yum
Yea just made a horrible bet with lord help me,weary,flushed
Subway for lunch,blush,yum
doin this,sob,heart_eyes
Thank you,yum,blush
Ayyy ohhhh BET,grin,sob
Omfg,heart_eyes,sob
I bet no one can beat my high score on Hexavoid,heart_eyes,smirk
Ard bet and nothin but juss text me,blush,sob
yo. This is relatable,blush,sob
bet they a big fan of you gorgous,blush,sob
you bet ️,relaxed,wink
that's a bet,blush,grin
love how they play your songs Nintendo at Starbucks,heart_eyes,grin
Jesus Christ ... And I bet that's all real,heart_eyes,yum
I want Starbucks,yum,weary
When your bet enters in the first half,blush,heart_eyes
I bet all of the guys hate me now thanks Wase!,sob,blush
I bet I kno yo feet hurts,weary,grin
Craving Starbucks,yum,weary
You can hate me but I BET you won't stop this cash flow. ️️️️️️️,relaxed,sob
"I bet u got all sweaty, did u wanna come inside for a glass of lemonade?",smirk,sob
damn I can't get back wit my ex then either she bet not tell mfs we been together since 09,sob,wink
Chris took NyQuil 30 minutes ago &amp; bet me he could stay awake past 12:45am. He passed out 15 minutes later,smirk,weary
i bet she been listening to country music the whole day now that shes in nashville #727TourNashville,smirk,wink
Can't leave subway without no cookies,yum,weary
McDonalds tweeted me,sob,smirk
Craving cake pops from Starbucks,sob,weary
"Yeah Me Too, They Were Fucking For Rides To Walmart ️",relaxed,sob
Why is Valeria talkin about anal at this STARBUCKS STUDY DATE,weary,heart_eyes
"When gam sends you that ""are you up?"" text, you know you're getting Starbucks",heart_eyes,wink
I bet.,sob,smirk
I'm from RVA born &amp; raised so I'm the best bet,blush,weary
Sad case lmao Fml I jus knew I was gon get that dress ripped off me,weary,sob
Brotherly Love on BET,flushed,blush
thank you,yum,blush
I bet!,flushed,weary
I bet mojo felt so shitty after Lisa said that,sob,wink
Got my subway,blush,weary
everyone visit me at subway I start tonight,blush,smirk
craving Starbucks so bad rn,sob,heart_eyes
Could do with a dominos rn,heart_eyes,yum
Oweeeer my bitch even look phat from the front,smirk,weary
Why am I watching this BET movie with Karreuche as a main character,sob,weary
I ain't never eating at McDonalds again,sob,heart_eyes
Craving Starbucks,heart_eyes,weary
Someone bring me subway for lunch,sob,yum
lol bet ️,relaxed,wink
I bet,wink,weary
lol alright bet,yum,blush
Bring me some,weary,sob
Rih performing three times tonight? bet,heart_eyes,relaxed
girl you've got a cute smile. I bet $10 he wants your number now,smirk,heart_eyes
mcdonalds,sob,yum
I bet so many people ain't get it,sob,heart_eyes
I bet you love fucking yo cousin to huh?,wink,weary
Awe don't be sad. I bet you'll find this appealing,wink,sob
I could eat subway everyday of my life,yum,heart_eyes
damn I already got the dominos I'm a see how it is,weary,blush
I bet,smirk,wink
bet. Lol Ima get the One S just to beat you️,relaxed,flushed
I bet you are,weary,wink
want starbucks,sob,weary
Same,smirk,weary
I just want Starbucks,sob,weary
I bet it has minimal side effects.,blush,flushed
Bet Tht Up Then,wink,blush
only him bruh I can't breathe,sob,flushed
Starbucks,smirk,yum
Bet she's single nowi mean wtf,weary,wink
check dm loser,wink,sob
Subway doesn't need tonight,grin,weary
Starbucks,blush,yum
I want some subway,blush,weary
Dead ass,weary,sob
I bet you do...,smirk,wink
complain about ma weight 24/7 so obvs have to get myself a dominos to feel better,blush,wink
I have never heard this in my life.,flushed,weary
There's a Starbucks on the UCC campus #bless,sob,heart_eyes
ard bet,smirk,blush
I bet i could cut my phone off for the rest of the night and wake up to no new messages,blush,wink
Subway got the best cookies,heart_eyes,yum
bet just lmk,blush,grin
You ain't gotta like me bet you know my name though,wink,smirk
Craving subway rn,weary,yum
subway,sob,yum
Mcdonalds,heart_eyes,yum
"""bet, I ain't no bitch""",sob,grin
I want Starbucks,sob,weary
Ok Bet,blush,sob
Hell yea had me stressin bout how I was gone tell chassity,weary,sob
Starbucks date?,blush,smirk
I bet,blush,weary
I bet,grin,weary
great figure great ass and i bet the pussy is amazing too,smirk,relaxed
"oooo damn look how far you've come since the last time you were there, I bet with a lot less books this time",smirk,blush
I lived my Wildcat dreams last night!,grin,relaxed
"That was my last time eating McDonalds , that shit gave me food poisoning",weary,smirk
i bet,yum,blush
been here since 2011 &amp; you can bet I can name all of your music ️,relaxed,blush
Hey sus girl u is poppingg and u bet not cut your hair,heart_eyes,wink
Starbucks in the morning,blush,weary
Shoutout to Petes for this Starbucks,sob,heart_eyes
Pumpkin spice is back at Starbucks,heart_eyes,weary
Ignore a monkey I bet it stops performing,blush,heart_eyes
I bet I'm so done,sob,wink
well I think you're beautiful and I bet you're not annoying. you keep doin you honey,blush,heart_eyes
I bet you got good grades,smirk,yum
but I bet he thinks about yall,blush,grin
Tell me why when I took my lid off there was a fckin bug in there️ brb gonna die,weary,sob
oh bet,smirk,blush
how much you wanna bet tori is gonna take a pic with the stranger things cast,grin,smirk
Starbucks .. They can take all my money,heart_eyes,weary
Cuddle &amp; play in my hair? ️ oh nah? Bet,relaxed,smirk
I've been trying man but I'll keep being patient,sob,weary
i bet u miss me,smirk,wink
I want Starbucks,heart_eyes,weary
I love getting free Starbucks,weary,yum
Bet I'm not mean anymore,blush,sob
I want Starbucks,yum,weary
Subway calling my name,weary,yum
"Bet... Don't worry about a thing,I gotchu no doubt",wink,smirk
My dreams are coming true. Starbucks is getting almond milk,heart_eyes,sob
I want some subway or taco bell,yum,weary
Time to go buy Starbucks and listen to Isis,blush,weary
Someone should make my day and bring me Starbucks at work,weary,sob
I bet,wink,weary
I bet light skin girls taste like warm caramel,yum,flushed
I miss you buddy,weary,sob
Bet you put my shoes on but they can't fit u,wink,grin
I hate you bcs of that starbucks,sob,weary
i bet you would,sob,blush
Lets go,yum,weary
You ain't gotta like me bet you know my name tho,smirk,wink
bet that,heart_eyes,blush
I bet it is,smirk,wink
bet wicksy woulda shagged his daughter #jeremykyle,sob,wink
Craving chipotle or subway rn,yum,weary
"i bet you don't , i know for a fact i can ride",blush,wink
Brotherly Love on BET,heart_eyes,blush
Taylor owes me a footlong subway sandwich,blush,weary
its cool I'm watching bobs burgers text me,blush,weary
mcdonalds,wink,yum
I bet,heart_eyes,weary
wanna bet?,blush,smirk
U bet,wink,weary
lol I'm late but thanks n bet it's green,grin,heart_eyes
"Animals, corporate bailouts, Starbucks, and watching a black guy fuck their wife silly",smirk,heart_eyes
Starbucks sound good rn,yum,weary
I'm addicted to Starbucks,weary,relaxed
Starbucks cashier started flirting with me should've ask for her number,wink,weary
I bet it is,heart_eyes,smirk
damn.. I bet.,weary,sob
Both,wink,sob
I bet you did.,blush,grin
bet you can't top that *shoulder brush*,grin,wink
Bet I go all 4 years of Hs without getting asked to a dance️,blush,smirk
the baby of the group is finally gonna be of age hahaha I bet that makes y'all feel so old,sob,wink
got my subway,blush,weary
I can't wait for the seasonal drinks at Starbucks,heart_eyes,yum
I bet,sob,weary
I want Starbucks,yum,weary
I want some Starbucks,sob,weary
I Want Some Subway,yum,weary
I bet,smirk,sob
You ain't gotta like me bet you know my name tho,smirk,wink
Someone bring me McDonalds,wink,weary
My first article for GMU's newspaper came out today! Beta back at Mason | Fourth Estate,grin,blush
okay bet,sob,blush
I want Starbucks,sob,weary
look what I found at the Saratoga Starbucks this morning. Upstander drink sleeves!,blush,heart_eyes
Just made a bet with and if I won he had to pay my sephora cart that I had... and guess who won. me.,blush,sob
she damn right wouldn't post a full body pic talking about I'm sickly skinny. I bet you she's fat,weary,blush
Whoaaaaaaaa bet the Cowboys could redo that one,sob,smirk
I bet Shaun feels weird that he's with me and Samantha since he took both of our virginity's but we don't care ️,relaxed,blush
i bet I'm going to wear this one,weary,wink
Really want some subway,sob,weary
craving subway SO bad right now,sob,weary
Wish I had some McDonalds rn,flushed,blush
Unfortunately,weary,heart_eyes
How much anyone wanna bet,sob,weary
subway,heart_eyes,yum
You'll see it,smirk,weary
I bet you are,smirk,wink
The worst part about being allergic to gluten is definitely not being able to eat mcdonalds ever again,sob,heart_eyes
You can ask your lady bet I drove her crazy,yum,smirk
yes bet!!️,relaxed,grin
Bet you didn't see any Andy,wink,blush
I wish I had some Starbucks,weary,blush
I want mcdonalds fries,sob,yum
oh bet slide thru,grin,yum
alr bet,sob,blush
I bet the neighbors know my name,yum,smirk
First time at Starbucks.,yum,weary
Subway sounds soooo good rn,heart_eyes,sob
Bet brother,smirk,blush
The Lowes,blush,smirk
starbucks,smirk,yum
True Ash,sob,weary
please could u send some 350's my way haha? If i don't ask i suppose i don't geti bet u wont even see this #wastedtweet,wink,smirk
I bet you won't,smirk,wink
Shoutout to for ordering,yum,heart_eyes
aight bet,smirk,blush
Starbucks sounds great rn,heart_eyes,yum
Ain't that sweet ️,relaxed,heart_eyes
I love it,heart_eyes,yum
I bet all of y'all are staring at her boobs,flushed,smirk
you can't mcdonalds is heaven,smirk,yum
"i knooow, hope starbucks will have happy hours with psl again this year",yum,sob
I sure can in a spoil brat tone I read that an starting dyen,sob,blush
I bet u smiled when you saw this.,blush,smirk
I bet those kids are actors,smirk,sob
bet yo as was like woah woah hold up,sob,weary
*101 times actually,wink,sob
I want a big breakfast with hot cakes from McDonalds but breakfast over,weary,sob
bet I'm finna hit yo line,blush,wink
this subway is about to hit,yum,weary
McDonalds is not good for you,smirk,sob
I'm joking,grin,sob
Dude McDonalds hash browns are my weakness,weary,yum
"the collective black ""boy if y'all white asses don't get the fuck on"", got me weak af",sob,weary
lmao I bet you did,wink,sob
chick-fil-a,sob,yum
Me but with dominos,sob,yum
I want some subway.,weary,yum
Pumpkin spice latte from Starbucks,yum,heart_eyes
"Tell them hoes to compete with me , BET they won't win",yum,smirk
I bet you would,smirk,wink
about 80% of the time,grin,sob
aight bet,flushed,wink
Oh bet ... 2 can play at this game,wink,smirk
#StandUpwithYT Bet Jacks happy Lydias there #JYDIA,wink,heart_eyes
No upsets in the cup tonight I'd like to win a fucking bet,wink,sob
I want Starbucks,sob,weary
starbucks sounds so good rn,weary,heart_eyes
I'm doneeee,sob,weary
When you're the first person to order the pumpkin spice latte at Starbucks,heart_eyes,weary
going to get subway w/,yum,blush
ok Best Tweet Award,wink,yum
Happy Birthday bebeker!! Bet ko yung attitude mong matapang &amp; being true to yourself. Hope we can get more closer stay…,grin,blush
"Tomorrow is the first day of fall, bet I'm going to put out my fall decorations",heart_eyes,sob
Ive gone a whole week so far,grin,relaxed
Ard bet hmu,smirk,blush
"You bet, that you did Thank you! Wow,wow, wow!",heart_eyes,blush
I want some Starbucks,yum,weary
I really want Starbucks.,yum,weary
-Chanel -hotties -Starbucks,yum,sob
Al bnt ele t76 rmosh fl bet 3sh'an tt9wr snap esh t7s ? ️,relaxed,wink
yoontae subway ads (ctto),heart_eyes,weary
Come buy them from me where shopping is a pleasure,wink,sob
"but I bet they all be at the party tomorrow ""Hey Boo""",wink,heart_eyes
bet my gf the best,weary,wink
sorryyyyyy,heart_eyes,yum
Okay bet ️,relaxed,grin
Lexus making me send this damn message &amp; I hate doing shit like this,weary,sob
You're really gunna embarrass me like that when I'm on your bio ? BET,sob,wink
Bet you didn't even know you were featured on a magazine a month ago,smirk,wink
Ling ling you fine,heart_eyes,weary
alright bet,smirk,blush
Subway,blush,yum
Dont Get Me Wrong But I Bet Baeza Gonna Come Out With A Beard Again,heart_eyes,smirk
I bet it smells divine!!,blush,grin
This my pussy you bet not give this pussy to nobody,grin,wink
Really wanting some chocolate chip cookies from subway,weary,heart_eyes
Bet your friends aren't as hot as mine,smirk,heart_eyes
Reallllly craving Starbucks rn,weary,blush
Relatable,weary,grin
I want Starbucks now thanks,blush,weary
starbucks,heart_eyes,yum
Avery from Subway,heart_eyes,sob
I need someone to bet against the patriots so I can win all my money back,weary,wink
ask your boyfriend about me I bet you he knows,blush,wink
When your bet enters in the first half,blush,heart_eyes
I want some Starbucks,yum,weary
bet thanks you though for the birthday wish!!,grin,smirk
I want subway,grin,weary
cologne meaning Starbucks coffee,smirk,weary
Starbucks Run,yum,heart_eyes
When Xoch remembers you exist just cause you went and saw her at Starbucks,sob,heart_eyes
Starbucks is always the answer,heart_eyes,weary
Only If I Had A Girlfriend,yum,blush
Bet you enjoyed that one,smirk,wink
To bad that he can't prove it,yum,sob
Starbucks calling my name,yum,weary
McDonalds,yum,heart_eyes
Starbucks bc it's Friday,yum,weary
"anything she can do I can do betterrrrrrr , I bet ya, nigga I bet ya",yum,blush
I just want starbucks,sob,weary
that's a bet,yum,grin
"Lmaoooo school shoes, what's poppin'??",sob,flushed
the boys wit the shits this year,wink,weary
Taught her well I'll officially never be able to go to Starbucks w/o getting her a cup now...,smirk,grin
bet. Im outside already,weary,grin
that's a bet,sob,grin
I bet it would,yum,smirk
that's a bet,yum,smirk
So cute!! Omgbet y'all didn't know I had a sensitive side,heart_eyes,blush
Alone I bet,sob,blush
"40• whats one song you tired of hearing ? (( bet not nun of yall say ""ouuuu"" by bc i WILL BLOCK YOU ))",blush,smirk
I want Starbucks,sob,weary
Special #mallowmondays to celebrate launch RT to win a £20 Starbucks &amp; mallows!,grin,yum
bet bet bet. You can be single instead,yum,grin
bet I can guess,yum,wink
McDonalds sweeet tea is the best sweet tea,yum,weary
mommy got me mcdonalds,blush,weary
The answer is always yes ️ lol,relaxed,sob
Can't wait to see a Seahawk dressed in Lancer gear,blush,grin
"bet you liked it tho, since no boy's been doing it",wink,grin
it's Starbucks too!,blush,heart_eyes
Be mad all you want bet you'll never forget me,blush,flushed
"my db vs your db , who wanna bet",smirk,sob
"Happy Friday! Couldn't decide which breakfast treat to get, so I'll sample a bit of both.",yum,grin
lmfaooo hoe stories are the bet stories,weary,wink
""" subway be so clutchso glad there's one by my house.",yum,blush
Starbucks,weary,yum
that's a bet️,relaxed,smirk
Bet you sing this!,wink,sob
I want a berry sangria from Starbucks,weary,flushed
okay bet.,grin,smirk
I always see my lil boo at mcdonalds,heart_eyes,sob
Someone bring me Starbucks please,blush,weary
Starbucks.,heart_eyes,yum
Now I want Starbucks,sob,weary
When Starbucks gives you 3 free months of Spotify.,yum,grin
Way tooooo real I be risking it specially with this new job I started yesterday,weary,blush
Man who you telling!,weary,wink
Starbucks,wink,yum
Want Starbucks,yum,weary
I bet,grin,weary
I have clayton keys.. should I go get myself subway orrrrrr.,yum,sob
The only place i ever see is starbucks,sob,heart_eyes
I put Leicester on like every bet,weary,sob
pan dulce &amp; starbucks for breakfast,yum,weary
Subway,blush,yum
I bet!!!,grin,blush
Starbucks run,grin,yum
Damn Walmart is going to be crowded all week,weary,sob
"spongeboy all up on my boy pat. wtf wrong w this sus kid, squidy finna run his fade any min now bet",flushed,weary
I wish I had some Starbucks,weary,blush
Yesss gave me goosebumps,weary,heart_eyes
I bet My ex somewhere right now telling somebody how I ain't shit ️,weary,relaxed
I bet!,blush,wink
Update: At my job in mcdonalds wondering why mcchicken sales have plummeted #confused *cue victorious music*,sob,yum
Starbucks,wink,yum
ok bet,grin,blush
I'm on yo ass now yes u do she lying,sob,relaxed
HASHTAGS,heart_eyes,sob
Ff to sept. Starbucks is real,grin,weary
I was 5 minutes late for breakfast #mcdonalds #breakfast #late #fml,sob,heart_eyes
I bet,grin,weary
want some subway..,yum,sob
"bet, ily2",grin,smirk
I bet this is what you had in mind,wink,smirk
I bet #RyanLochte didn't expect a Latin American country to have security cameras everywhere,smirk,heart_eyes
i bet ya high ass is,sob,smirk
bet i'll continue to not text you back too,blush,smirk
Bet all them Carolina Players and Fans wanna smash the Kicker,sob,weary
ok bet..,wink,blush
I want Starbucks,heart_eyes,weary
I really want Starbucks,heart_eyes,weary
"all mine now, bet",yum,smirk
". But if you WERE to do your makeup on the subway, we also have tips for that:",wink,weary
Walmart,weary,grin
I'm too nice and settle for too much... Bet I won't nomore,blush,smirk
"Bet she will and squirm out of this, maybe blame it on ""climate change""",wink,sob
I've really turned into a Starbucks addict,weary,yum
me and Rose have an amazing $5 bet going on because she thinks she's right,blush,heart_eyes
I googled the Israel speed-painter guy &amp; his oeuvre. I bet the painting is hideous.,flushed,wink
"that's a bet, we can have a girls night &amp; I'll leave the baby w ️",relaxed,blush
i bet,sob,smirk
yea I bet,sob,smirk
yeah I bet,weary,smirk
this is me,sob,weary
"Builders in my house keep blushing around me, bet they're subs ️",relaxed,sob
"the collective black ""boy if y'all white asses don't get the fuck on"", got me weak af",sob,weary
\ / \ / \/ hyyyyppppeeeedddddddd,blush,weary
I need Starbucks like now,weary,yum
Subway eat Fresh,grin,sob
Craving Starbucks,sob,weary
OMFG,heart_eyes,sob
amen dominos deliverers hot and ready's️,relaxed,grin
I want Subway.,weary,sob
I bet,sob,weary
I want Starbucks.,smirk,weary
That's y they are called women!! : Bet Why,weary,smirk
bet u still staying thou,heart_eyes,blush
Starbucks sounds so good,weary,yum
she said McDonalds,sob,weary
I want it all omg my heart,weary,sob
I work a double tomorrow and you can bet your ass I'm not sleeping tonight so that I can catch this,heart_eyes,yum
I hate this app so fucking much,sob,weary
Happy in Walmart,blush,heart_eyes
"I bet you'll start loving me , soon as I start loving someone else, Somebody better than you",blush,relaxed
bet wya ?,sob,blush
"you gon "" see a lot of ppl Wednesday "" but okay bet",wink,blush
Starbucks coffee,heart_eyes,sob
I bet she is,blush,smirk
Me too and Starbucks,blush,weary
"Especially that kind of broccoli, I bet.",smirk,sob
"*at pf changs* ""welcome to mcdonalds""",yum,smirk
"When your manager utters those magic words.. 'Dominos for lunch, my treat'",heart_eyes,weary
ok bet,heart_eyes,blush
"Honestly, Starbucks coffee is life",heart_eyes,yum
I bet,wink,weary
boy you bet not try me ️,relaxed,grin
I eat subway everyday,sob,yum
I want some subway,yum,weary
I'm getting Starbucks and I'm very excited,wink,heart_eyes
Facts ️,relaxed,yum
Yunhyeong subway-ads for iKON's 1st anniversary by k-ikonics,heart_eyes,weary
I like it,yum,blush
If I gotta put a couple things on hold just to get myself situated then so be it bet I be back on my Grizzy Doe,wink,sob
The salted caramel mocha frappuccino at Starbucks is my new favorite,heart_eyes,weary
Stay strong and continue to push back against those who do not respect us.,wink,blush
"Ain't gotta like me, bet you know my name though",smirk,heart_eyes
leme go see .. i bet i can do that shit mane,smirk,wink
Dominos ordered,heart_eyes,yum
I bet she is,heart_eyes,smirk
lmaoo I bet you did,sob,weary
Most lit verse,sob,weary
"I wanna eat more McDonalds but the only stuff I can eat there in the UK is the desserts, fries and Fillet Burger",weary,wink
UR AVI,heart_eyes,yum
"Nah, still doesn't make sense! Trust me...",smirk,blush
Starbucks,heart_eyes,yum
STARBUCKS!,heart_eyes,weary
White peoples problems ugh,weary,sob
"I currently getting slayed, I couldn't make the reunion. I'll be at the next tho.",blush,flushed
bet you we love her more,wink,blush
She rushing over here after work bet dat,sob,smirk
that's what we saying but I bet we gon be tired af,weary,smirk
Catch me at powderpuff next year,smirk,sob
you bet I do,weary,wink
@ Starbucks Argentina,blush,yum
why you out this late Cindy I live past the new Walmart,flushed,sob
Seriously craving a double chocolate chip frappuccinno from Starbucks,sob,weary
I bet lmao,sob,heart_eyes
I bet you do,wink,grin
I bet they didn't tell him to do that it was just Tyler's idea,wink,sob
I bet my tweets getting Screenshoted,smirk,weary
Bet I do actually remember the words 'shake' and 'fold' every time I use a paper towel from now on,grin,relaxed
Really craving some of coffee it's literally better than Starbucks coffee,weary,sob
A booger on my chicken nugget???? GROSS!!! #Boogerking,sob,heart_eyes
I bet,wink,weary
lmfaooo I bet she ain't,sob,blush
finna go to subway,yum,weary
bet it's gone be packed too.,weary,sob
Just Like Niggas Talk Bitches Talk &amp; One Thing About Us Females We Don't Hold Water,blush,heart_eyes
Dont Make Me Fuck Ya Bitch Bet Im Ya Bitch Type,smirk,wink
ok bet gimmie time to go to the bank,blush,smirk
wanna bet on it ?,wink,blush
I bet he was also reading fanfics no better he was reading hannigram fics for Mads yes,smirk,heart_eyes
most def ask kemaria I bet she agree,wink,yum
I want to go to target just to go buy popcorn &amp; Starbucks.,weary,heart_eyes
"Dominos knocked the door and my mum didn't know who it was, shouted go away and then threatened to ring the police",sob,wink
Fire drill when it's pouring rain? You bet ya cause we are linn-mar!!,heart_eyes,blush
pls bring me subway for lunch,weary,yum
On the crack,yum,heart_eyes
you bet!,wink,blush
ard bet,sob,blush
honestly my biggest pet peeve is Starbucks taking forever when they're empty,weary,yum
I need that ight bet shirt,sob,heart_eyes
You bet your ass she does. And it's a beautiful thing.,blush,relaxed
I want some subway.,weary,yum
I bet,wink,weary
Ight bet say no more ️,relaxed,sob
When you see behind you at the starbucks drive thru ️,relaxed,smirk
this nigga in the Metro subway too,sob,yum
Subway .,weary,relaxed
i bet you all cant wait to watch your fave irishette dance at the pep fest tomorrow,wink,weary
Awseome. Bet that was a blast,blush,heart_eyes
"bet, just hml",sob,blush
But of course!,wink,heart_eyes
what my ex be thinking,sob,yum
and you can bet your sweet bippy he's missing you,wink,heart_eyes
McDonalds informs us we can customize Zen. Thanks to for the tip.,wink,blush
u bet,wink,weary
Can someone bring me Starbucks or sonic or a milkshake or some thing,sob,weary
I Fucking Bet They Do,wink,smirk
Bet I make you a believer,smirk,grin
Subway cookies are just bae,heart_eyes,yum
"Maybe next year️, till then our bet is still live",relaxed,weary
i saw ittt mwahaha still...i bet he does,wink,relaxed
I bet she did,smirk,wink
i bet you did,flushed,wink
McDonalds sweeet tea is the best sweet tea,yum,weary
That's your best bet,blush,smirk
red interior,wink,heart_eyes
On me.,sob,heart_eyes
I know but I bet it doesn't rain as much as here lol,grin,sob
I bet they will follow you in the next couple of months,blush,wink
Lyssa's bringing me Starbucks In the am,weary,heart_eyes
I need to have this mentality,weary,sob
My friends never wanna text back but I bet they texting them nappy head lil boys,sob,grin
I found a Starbucks. I'm so happy,sob,heart_eyes
Sooo me,weary,yum
That song so hard,weary,sob
Oh my god,sob,yum
Ight bet,yum,blush
Wanna bet?,smirk,blush
Craving Starbucks right now,flushed,weary
Alright bet,yum,blush
"Pizza, Starbucks, and #NASCARHeatEvolution I love my job.",heart_eyes,grin
My replies would be some reckless shit I bet,sob,smirk
I bet you did this,sob,smirk
"""I bet if you eat ass, you always be talkin shit"" tweezy got me deaddd",sob,weary
bet u can't whip like me,grin,wink
Starbucks plsss,heart_eyes,yum
I enjoyed a nice free subway today,blush,yum
Here's a better quality of Zendaya and Tom at Starbucks earlier. ️ (credit to ),relaxed,smirk
Mcdonalds need to bring back hot and spicy's,yum,weary
Oh u bet Ashwin..never let go the kid in u..,wink,smirk
"""Nigga ain't thinking about that girl""️",relaxed,sob
Someone take me to subway,weary,yum
Les donuts au sucre du subway,heart_eyes,yum
facts,heart_eyes,blush
i bet,sob,weary
actually funny,sob,weary
In need of a starbucks....,sob,relaxed
I want Dominos,yum,sob
So true especially with dead threats,weary,sob
I'm outttttt,sob,wink
Someone bring me Starbucks at work,sob,weary
subway &gt;&gt;,yum,weary
I want Starbucks.,yum,weary
I want subway,yum,weary
i bet he won't disrespect my girlfriend or anyone else again,blush,grin
please let this handsome men sing at my wedding i bet im gonna left my hubby as soon as i see them haha,heart_eyes,weary
lol bet,yum,blush
Subway cookies are actually lush,heart_eyes,weary
You know we solid boo,blush,wink
When your supervisor buys you Starbucks,grin,yum
bet you and won't try this,wink,grin
oh yeah I bet,smirk,wink
&amp; i took their order,blush,sob
this is so cool,weary,sob
I bet it's cute,sob,smirk
Starbucks run and then off to Berkeley for the morning. ️,relaxed,weary
"Guys, fall drinks at Starbucks are officially back",heart_eyes,weary
bet you real asf don't be playing !!,sob,yum
I Bet,blush,smirk
Can't wait for pumpkin spice to hit Starbucks ️,relaxed,weary
Bet she can't do it like meeee,smirk,relaxed
the arm jawn,sob,weary
"I had a little starbucks, walk around down town, then a movie date today",heart_eyes,weary
I need to buy a new one,weary,sob
Need,sob,weary
I bet,smirk,weary
"I bet the lady at Carl's is probably like, ""why Tf is this girl always buying food so late?""",blush,sob
And they seeking 'class action' status damn,flushed,weary
You can ask your lady bet I drove her crazy,grin,smirk
Who doesn't love winning a bet?,smirk,sob
Plant drugs,blush,weary
"wish I would've seen this earlier, I've been wanting Starbucks",weary,blush
bet . I'll let you know .,smirk,sob
bet baby,heart_eyes,blush
bet I was in it,wink,blush
Have em I know he coming back I bet you he coming back to me️,relaxed,grin
pass,weary,sob
im not pregnant &amp; i dont work at walmart,blush,sob
I want subway,yum,weary
i'm at mcdonalds and they are playing black magic,weary,sob
Basic at Starbucks,smirk,weary
I want starbucks so bad rn,sob,weary
#arpreps bet on those Mounties next week,blush,grin
you right,smirk,weary
you bet I am,blush,wink
#EpicFail #Starbucks @ 18th &amp; State in #Boise. The only bike loop in the plaza and your furniture blocking it.,weary,sob
you bet!,grin,blush
Get the app to order and skip the line,yum,flushed
24 hour subway,heart_eyes,weary
Craving Subway,weary,yum
Salted caramel mocha frapp is back #starbucks,heart_eyes,flushed
Happy #IcedCoffeeDay! #MsMcDavittRunsOnDunkin #foundagiftcardinmypurse,blush,heart_eyes
I bet,grin,weary
bet be at my house tomorrow night mom not going be home,blush,relaxed
Set it off on BET,blush,grin
the day I see this...,flushed,sob
"You ain't gotta like me, bet you know my name thou",wink,blush
Hey where's my money ?,smirk,flushed
Me and playing Fifa and bet on a beanboozled bean per goal. We're bold tonight,grin,relaxed
This guy,weary,sob
that's a bet,blush,smirk
Some starbucks would be so good rn,sob,weary
Always,weary,heart_eyes
